day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-2,0,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
-2,0,STARFRUIT,4997,26,,,,,5003,26,,,,,5000.0,0.0
-2,100,AMETHYSTS,10000,5,9995.0,20.0,,,10005,20,,,,,10002.5,0.0
-2,100,STARFRUIT,5000,5,4998.0,6.0,4997.0,20.0,5004,20,,,,,5002.0,0.0
-2,200,STARFRUIT,4997,1,4996.0,30.0,,,5003,31,,,,,5000.0,0.0
-2,200,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0
-2,300,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0
-2,300,STARFRUIT,4996,27,,,,,5003,27,,,,,4999.5,0.0
-2,400,AMETHYSTS,9995,20,,,,,9998,3,10002.0,9.0,10005.0,20.0,9996.5,0.0
-2,400,STARFRUIT,4995,20,,,,,5002,20,,,,,4998.5,0.0
-2,500,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,500,STARFRUIT,5001,1,4996.0,30.0,,,5003,30,,,,,5002.0,0.0
-2,600,STARFRUIT,4996,30,,,,,5003,30,,,,,4999.5,0.0
-2,600,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,700,AMETHYSTS,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,0.0
-2,700,STARFRUIT,4997,1,4996.0,27.0,,,5003,28,,,,,5000.0,0.0
-2,800,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0
-2,800,STARFRUIT,5002,1,4997.0,23.0,,,5003,2,5004.0,21.0,,,5002.5,0.0
-2,900,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,900,STARFRUIT,5001,2,4997.0,30.0,,,5004,30,,,,,5002.5,0.0
-2,1000,STARFRUIT,4997,2,4996.0,22.0,,,5001,8,5003.0,24.0,,,4999.0,0.0
-2,1000,AMETHYSTS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,0.0
-2,1100,STARFRUIT,4997,25,,,,,5002,3,5004.0,26.0,,,4999.5,0.0
-2,1100,AMETHYSTS,9998,3,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,0.0
-2,1200,AMETHYSTS,9998,6,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,0.0
-2,1200,STARFRUIT,4997,28,,,,,5003,1,5004.0,27.0,,,5000.0,0.0
-2,1300,STARFRUIT,5000,3,4997.0,23.0,,,5004,23,,,,,5002.0,0.0
-2,1300,AMETHYSTS,10000,3,9995.0,23.0,,,10005,23,,,,,10002.5,0.0
-2,1400,STARFRUIT,4996,26,,,,,5001,2,5003.0,26.0,,,4998.5,0.0
-2,1400,AMETHYSTS,9995,26,,,,,9998,3,10005.0,26.0,,,9996.5,0.0
-2,1500,STARFRUIT,4997,2,4996.0,25.0,,,5003,27,,,,,5000.0,0.0
